sku,media,varianza,razon_var_media,sobredispersion
262-170-070-000,13.722222222222221,908.4477124183006,66.202667301738515,TRUE
264-240-160-000,0.75,2.7720588235294117,3.6960784313725488,TRUE
264-280-070-000,1.3888888888888888,7.428104575163399,5.348235294117647,TRUE
264-290-080-000,1.6666666666666667,17.294117647058822,10.376470588235293,TRUE
264-290-100-000,3.9444444444444446,27.11437908496732,6.874067937033969,TRUE
264-290-180-000,2.111111111111111,25.751633986928105,12.198142414860682,TRUE
271-190-020-000,10.11111111111111,289.7516339869281,28.656755009696184,TRUE
271-190-030-000,18.166666666666668,1040.3823529411766,57.2687533729088,TRUE
271-190-040-000,21.22222222222222,2896.8888888888887,136.5026178010471,TRUE
289-110-230-000,0.6111111111111112,2.2516339869281046,3.6844919786096253,TRUE
298-110-060-000,22.77777777777778,1044.7712418300653,45.86800573888091,TRUE
334-100-030-000,16.166666666666668,2167.0882352941176,134.04669496664644,TRUE
397-490-040-060,0.2777777777777778,0.21241830065359477,0.7647058823529411,FALSE
424-100-010-010,204.16666666666666,58677.91176470588,287.4020168067227,TRUE
424-100-020-010,11.222222222222221,72.88888888888889,6.4950495049504955,TRUE
424-100-020-015,16.77777777777778,392.5359477124183,23.396182313985197,TRUE
424-100-020-020,23.38888888888889,518.8398692810457,22.183177308928318,TRUE
424-100-020-030,4.777777777777778,21.477124183006534,4.495212038303693,TRUE
424-100-020-040,11.38888888888889,124.83986928104575,10.961549497847919,TRUE
424-100-020-060,14.444444444444445,133.79084967320262,9.262443438914026,TRUE
424-100-030-030,3.3333333333333335,7.647058823529412,2.2941176470588234,TRUE
433-100-020-010,15.722222222222221,1049.2712418300653,66.7381001870713,TRUE
433-100-020-015,6.333333333333333,50.35294117647059,7.95046439628483,TRUE
433-100-020-020,9.277777777777779,68.44771241830065,7.3775977456851,TRUE
433-100-020-030,3.4444444444444446,31.555555555555557,9.161290322580646,TRUE
433-100-020-060,3.1666666666666665,18.852941176470587,5.953560371517027,TRUE
433-100-020-080,2.6666666666666665,26.941176470588236,10.102941176470589,TRUE
433-100-030-060,1.5,12.852941176470589,8.568627450980392,TRUE
433-100-030-080,2.6666666666666665,16.352941176470587,6.13235294117647,TRUE
442-100-020-015,5.333333333333333,200,37.5,TRUE
442-100-020-020,3.5,21.676470588235293,6.19327731092437,TRUE
442-100-040-060,1,2.1176470588235294,2.1176470588235294,TRUE
541-120-002-030,2.0555555555555554,18.408496732026144,8.955484896661368,TRUE
541-120-002-035,5.055555555555555,131.8202614379085,26.074337427278603,TRUE
541-120-003-020,18.333333333333332,1573.4117647058824,85.82245989304813,TRUE
541-120-004-015,7.777777777777778,194.77124183006535,25.04201680672269,TRUE
541-120-005-030,12.88888888888889,419.39869281045753,32.5395537525355,TRUE
613-200-060-000,10.277777777777779,376.56535947712416,36.638791732909375,TRUE
613-260-080-000,0.5555555555555556,1.673202614379085,3.011764705882353,TRUE
613-450-040-000,2.8333333333333335,13.205882352941176,4.6608996539792384,TRUE
613-460-040-000,1.8333333333333333,7.323529411764706,3.9946524064171123,TRUE
613-460-060-000,0.7222222222222222,1.3888888888888888,1.9230769230769231,TRUE
613-460-080-000,1.6666666666666667,3.2941176470588234,1.976470588235294,TRUE
613-460-100-000,0.7777777777777778,1.3594771241830066,1.7478991596638656,TRUE
631-130-080-000,34.72222222222222,2754.09477124183,79.31792941176471,TRUE
631-130-100-000,11.277777777777779,129.38888888888889,11.472906403940886,TRUE
631-130-120-000,6.666666666666667,48.8235294117647,7.323529411764705,TRUE
631-130-140-000,8.944444444444445,55.8202614379085,6.240774570697845,TRUE
694-190-020-000,1.0555555555555556,9.467320261437909,8.969040247678018,TRUE
739-110-012-000,0.8888888888888888,1.6339869281045751,1.8382352941176472,TRUE
739-110-014-000,12.277777777777779,742.09477124183,60.44210806494543,TRUE
739-110-015-000,2.388888888888889,33.78104575163399,14.14090287277702,TRUE
739-120-020-000,6,114.94117647058823,19.15686274509804,TRUE
739-120-030-000,1.2777777777777777,1.5065359477124183,1.1790281329923273,FALSE
739-120-035-000,11.333333333333334,170,15,TRUE
901-140-010-000,1.5,3.4411764705882355,2.294117647058824,TRUE
901-140-020-000,1.5555555555555556,4.496732026143791,2.8907563025210083,TRUE
901-140-030-000,0.5555555555555556,0.9673202614379085,1.7411764705882353,TRUE
901-140-040-000,0.7777777777777778,1.5947712418300655,2.050420168067227,TRUE
901-140-050-000,0.8333333333333334,3.088235294117647,3.7058823529411766,TRUE
901-170-010-000,0.7777777777777778,1.2418300653594772,1.596638655462185,TRUE
901-170-020-000,1.2222222222222223,2.418300653594771,1.978609625668449,TRUE
901-170-025-000,1,2.3529411764705883,2.3529411764705883,TRUE
901-170-030-000,1.4444444444444444,2.7320261437908497,1.8914027149321269,TRUE
901-170-060-000,1.7222222222222223,6.565359477124183,3.8121442125237186,TRUE
901-170-070-000,0.2222222222222222,0.1830065359477124,0.8235294117647058,FALSE
910-100-020-000,8.333333333333334,274.11764705882354,32.89411764705882,TRUE
910-100-030-000,7.333333333333333,116.23529411764706,15.850267379679146,TRUE
928-110-010-000,8.833333333333334,101.08823529411765,11.443951165371809,TRUE
928-110-040-000,22.88888888888889,411.39869281045753,17.97372929754426,TRUE
