sku,marca,descripcion,monto_total,unidades_totales,meses_con_venta,monto_acum,pct_acum,categoria_abc
925-015-010-000,CONDOR,PUNTO DE ANCLAJE 1 PERNO,290962,12,3,510867961.63978493,0.9307522720790005,B
397-580-050-040,CONDOR,CINTA G8 SOSHA 16mm X 4m,289633,1,1,511157594.63978493,0.9312799555374695,B
442-100-030-060,CONDOR,CINTA PLANA EE4-603 X 6m TIPO 3,286471,4,1,511444065.63978493,0.9318018781361755,B
397-490-020-035,CONDOR,"CINTA G8 QOSH4A 8mm X 3,5m",284068,1,1,511728133.63978493,0.9323194227000904,B
397-260-020-040,CONDOR,CINTA G8 DOSH2A 8mm X 4m,283928,2,1,512012061.63978493,0.9328367121974757,B
264-300-070-000,CONDOR,CRAMPON 8 PUNTAS SIN ANTIBOTAS 1254 CARBON STEEL,283237,8,1,512295298.63978493,0.9333527427593465,B
397-490-010-060,CONDOR,CINTA G8 QOSH4A 6mm X 6m,281157,1,1,512576455.63978493,0.9338649837613482,B
901-100-008-000,CONDOR,"WINCHE MANUAL DE CABLE 1,6t",280678,1,1,512857133.63978493,0.9343763520714377,B
921-005-015-000,CONDOR,"AMORTIGUADOR EN Y CINTA ELASTICADA X 1,8m",279358,7,2,513136491.63978493,0.9348853154685332,B
397-490-020-045,CONDOR,"CINTA G8 QOSH4A 8mm X 4,5m",278890,1,1,513415381.63978493,0.9353934262146582,B
424-100-030-060,CONDOR,CINTA PLANA EE2-603 X 6m TIPO 3,278385,9,3,513693766.63978493,0.9359006168993725,B
928-110-010-060,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 6m,277644,26,3,513971410.63978493,0.9364064575533835,B
397-450-030-020,CONDOR,CINTA G8 QOSH 10mm X 2m,275048,1,1,514246458.63978493,0.9369075685451729,B
264-270-070-000,CONDOR,CRAMPON TIPO ARANA RV-265 ALLOY STEEL,274959,4,3,514521417.63978493,0.9374085173875257,B
631-130-040-000,CONDOR,CONECTOR RAPIDO OVALADO ROSCADO 3/8,274396,138,8,514795813.63978493,0.9379084404980484,B
415-100-020-060,CONDOR,CINTA PLANA EE1-602 X 6m TIPO 3,274380,12,1,515070193.63978493,0.9384083344581107,B
264-260-020-000,CONDOR,CRAMPON TIPO ARANA KND-60 ALLOY STEEL,274238,9,4,515344431.63978493,0.9389079697078357,B
631-130-170-000,CONDOR,CONECTOR RAPIDO OVALADO ROSCADO 1.1/4,271680,10,1,515616111.63978493,0.939402944527683,B
927-015-010-000-N,CONDOR,CABO DE VIDA EN Y CINTA TUBULAR,270872,8,1,515886983.63978493,0.9398964472492735,B
424-100-040-040,CONDOR,CINTA PLANA EE2-604 X 4m CON PROTECCION TUBULAR,270468,6,2,516157451.63978493,0.9403892139217354,B
613-630-010-000,CONDOR,MOSQUETON CARABINERO ACERO ROSCA 23kN,268178,52,6,516425629.63978493,0.9408778084345336,B
442-100-040-100,CONDOR,CINTA PLANA EE4-604 X 10m TIPO 3,267802,2,1,516693431.63978493,0.9413657179115092,B
694-200-006-000,CONDOR,"ANCLA PARA TAMBOR LATERAL 0,6t",265855,4,3,516959286.63978493,0.9418500801418189,B
541-130-003-050,CONDOR,CINTA TUBULAR EN 3t X 5m,265503,7,1,517224789.63978493,0.9423338010619967,B
694-220-020-000,CONDOR,ANCLA DE VIGA 2t,264855,2,1,517489644.63978493,0.9428163413885231,B
264-300-050-000,CONDOR,CRAMPON 8 PUNTAS SIN ANTIBOTAS 1240 CARBON STEEL,264356,8,2,517754000.63978493,0.9432979725850614,B
264-300-060-000,CONDOR,CRAMPON 8 PUNTAS SIN ANTIBOTAS 1250 CARBON STEEL,261878,7,2,518015878.63978493,0.9437750891040249,B
922-010-005-000,CONDOR,RETRACTIL DE CINTA 6m,260442,1,1,518276320.63978493,0.9442495893691555,B
721-100-010-000,CONDOR,PALA DE RESCATE EN AVALANCHAS,258833,23,4,518535153.63978493,0.9447211581910987,B
613-460-020-000,CONDOR,MOSQUETON DE SEGURO GIRATORIO G8 8mm,255958,11,3,518791111.63978493,0.945187489039665,B
424-100-030-010,CONDOR,CINTA PLANA EE2-603 X 1m TIPO 3,255914,31,5,519047025.63978493,0.9456537397244648,B
397-260-030-020,CONDOR,CINTA G8 DOSH2A 10mm X 2m,254961,1,1,519301986.63978493,0.9461182541349591,B
424-100-040-020,CONDOR,CINTA PLANA EE2-604 X 2m CON PROTECCION TUBULAR,253253,9,2,519555239.63978493,0.9465796567337915,B
739-110-005-000,CONDOR,"POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 0,5t",252347,9,5,519807586.63978493,0.9470394086877962,B
928-110-220-090,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 1.1/2 X 9m,248552,18,3,520056138.63978493,0.9474922465169434,B
541-130-010-040,CONDOR,CINTA TUBULAR EN 10t X 4m,246207,2,2,520302345.63978493,0.9479408119817186,B
922-020-010-000,CONDOR,RETRACTIL DE CINTA DOBLE 2m,245812,1,1,520548157.63978493,0.9483886577944995,B
920-005-010-000,CONDOR,ARNES SEGURIDAD 4 ARGOLLAS STD,245315,17,7,520793472.63978493,0.9488355981211002,B
631-140-070-000,CONDOR,CONECTOR RAPIDO OVALADO PERNO-CHAVETA 7/8,244883,21,2,521038355.63978493,0.9492817513852664,B
424-100-030-120,CONDOR,CINTA PLANA EE2-603 X 12m TIPO 3,241288,4,1,521279643.63978493,0.9497213549053316,B
910-130-080-000,CONDOR,TENSOR CONECTOR RAPIDO - CONECTOR RAPIDO 5/8 X 6,240464,24,3,521520107.63978493,0.9501594571766794,C
262-170-010-000,CONDOR,CUERDA G8 TRENZADO CORTO 6mm,237557,39,3,521757664.63978493,0.9505922631737291,C
613-200-040-000,CONDOR,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 10mm,236681,23,3,521994345.63978493,0.9510234731830647,C
739-100-020-000,CONDOR,POLEA DE RESCATE DOBLE CON MOSQUETON 2t,236038,2,1,522230383.63978493,0.9514535117082675,C
694-160-040-000,CONDOR,ANCLA VERTICAL 2t,234400,3,1,522464783.63978493,0.9518805659550734,C
