sku,descripcion,S_actual,en_inventario_marzo2026,costo_actual,nivel_servicio_actual,s_opt,S_opt,costo_opt,nivel_servicio_opt,ahorro_costo_pct,mejora_servicio_pp
901-140-010-000,"WINCHE MANUAL 0,5t",5,TRUE,12659.091562199312,0.783093892621697,2,8,11409.262861981733,0.9521565981294685,0.09872973065062822,16.906270550777148
901-140-050-000,WINCHE MANUAL 3t,4,TRUE,17679.340311285538,0.6973795815166104,26,27,84564.49660832618,0.9510222223509437,-3.78323823849608,25.36426408343333
901-170-070-000,WINCHE DE PALANCA 9t,0,FALSE,26916.383245614034,0,0,1,11240.682278582932,1,0.5823851155628579,100
631-130-140-000,CONECTOR RAPIDO OVALADO ROSCADO 1,16,TRUE,12884.413894497176,0.7215521610377024,12,34,9503.783481748329,0.9544790250250094,0.2623813888959812,23.2926863987307
433-100-020-020,CINTA PLANA EE3-602 X 2m TIPO 3,0,FALSE,27258.622832659094,0,18,37,10642.87941981743,0.9585452314944429,0.6095591664643459,95.85452314944429
694-190-020-000,ANCLA VERTICAL ARTICULADA 2t,0,FALSE,23492.962836311377,0,11,12,28160.569390750148,0.95165536357739,-0.19868105129866329,95.165536357739
901-170-025-000,WINCHE DE PALANCA 1t,2,TRUE,15312.932201817104,0.6210189706023538,8,9,23260.616170164405,0.9505842165272845,-0.5190177729255663,32.956524592493075
442-100-040-060,CINTA PLANA EE4-604 X 6m TIPO 3,0,FALSE,23575.472028982902,0,3,6,13239.769520765467,0.9508238047870566,0.4384091438555744,95.08238047870566
433-100-020-060,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,0,FALSE,23084.192205336003,0,8,15,11071.468048190536,0.952530774794633,0.5203874604010912,95.2530774794633
901-170-020-000,"WINCHE DE PALANCA 0,75t",0,FALSE,22577.622756131947,0,2,7,10285.937919436637,0.9554728666549179,0.5444189128971499,95.5472866654918
271-190-020-000,ANCLAJE SOLDABLE 3t,8,TRUE,10149.159816402766,0.619755144815948,24,40,9750.422485803641,0.9541457869410394,0.03928771817689745,33.43906421250914
433-100-020-080,CINTA PLANA EE3-602 X 8m TIPO 3,0,FALSE,21329.692002372965,0,12,18,14156.292665003304,0.9500944481002842,0.3363104978999044,95.00944481002843
901-140-040-000,WINCHE MANUAL 2t,5,TRUE,11470.921892024187,0.8459403194468266,2,4,11302.303818551642,0.9729461020664765,0.014699609591953296,12.70057826196499
334-100-030-000,CONECTOR GIRATORIO G8 8mm,46,TRUE,7507.50084514353,0.7576592411283465,40,53,8769.3050547059,0.9516348462475174,-0.16807246986573549,19.39756051191709
631-130-100-000,CONECTOR RAPIDO OVALADO ROSCADO 3/4,78,TRUE,8968.752050919198,0.8925853852229708,12,52,7554.057418908271,0.9512542876201673,0.15773595077432614,5.8668902397196465
433-100-020-015,"CINTA PLANA EE3-602 X 1,5m TIPO 3",0,FALSE,20212.07798362434,0,10,31,8485.997125474112,0.9524844696285374,0.5801521678102866,95.24844696285373
739-110-012-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,9,TRUE,11235.491206482211,0.9117028199056096,1,6,9172.947749445777,0.9512083835702374,0.18357394609026698,3.9505563664627763
613-450-040-000,MOSQUETON DE SEGURO CONECTOR G8 10mm,0,FALSE,18488.863943110828,0,7,17,9725.26760639391,0.9502874014300319,0.4739932298534945,95.02874014300319
424-100-020-010,CINTA PLANA EE2-602 X 1m TIPO 3,0,FALSE,18748.821754385965,0,15,43,7757.188487116187,0.9505491156019159,0.5862572811914687,95.05491156019158
433-100-020-030,CINTA PLANA EE3-602 X 3m TIPO 3,0,FALSE,17385.783210261743,0,9,20,9354.381765591148,0.9501707498265425,0.4619522369248318,95.01707498265425
442-100-020-020,CINTA PLANA EE4-602 X 2m TIPO 3,0,FALSE,17441.14018334613,0,7,19,8469.058538405989,0.9517320847963477,0.514420591235614,95.17320847963478
264-290-080-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,58,TRUE,42498.73808533866,0.7508699246559815,30,31,31355.02673071047,0.9302681483473102,0.26221275870006544,17.939822369132873
289-110-230-000,CARRO PORTA WINCHE DE ARRASTRE 2t,0,FALSE,15568.128811150245,0,5,7,17425.59531521737,0.9528136941137985,-0.11931212328721014,95.28136941137984
631-130-120-000,CONECTOR RAPIDO OVALADO ROSCADO 7/8,26,TRUE,7800.346969899954,0.8018516748338604,10,39,7438.622748815464,0.9508649437002162,0.046372837321251886,14.90132688663558
424-100-030-030,CINTA PLANA EE2-603 X 3m TIPO 3,0,FALSE,16626.564097865634,0,3,15,6452.939303454199,0.9518599160783793,0.6118897888059405,95.18599160783793
442-100-020-015,"CINTA PLANA EE4-602 X 1,5m TIPO 3",0,FALSE,15304.227120818943,0,36,41,12296.791208666862,0.95281879156503,0.19651014640660602,95.281879156503
541-120-002-030,CINTA TUBULAR EE 2t X 3m,0,FALSE,14317.457574777367,0,7,12,9410.775428878085,0.9559846855154976,0.34270624657154464,95.59846855154976
613-460-040-000,MOSQUETON DE SEGURO GIRATORIO G8 10mm,1,TRUE,15802.273338680483,0.18517395250697755,3,6,6934.491723048161,0.9818668104913688,0.561171258436971,79.66928579843912
901-170-010-000,"WINCHE DE PALANCA 0,5t",0,FALSE,14578.85151435883,0,2,5,8839.776745230198,0.9549683371208904,0.39365753629331984,95.49683371208903
298-110-060-000,CASQUILLO DE PRENSADO PARA CUERDA 3/4,0,FALSE,14182.80214771383,0,48,110,7180.448429537917,0.9573809668714687,0.4937214554110271,95.73809668714686
613-460-060-000,MOSQUETON DE SEGURO GIRATORIO G8 13mm,3,TRUE,8658.07670866996,0.7590253236759155,6,7,15870.806285331713,0.9505779040529589,-0.833063718347416,19.15525803770435
264-280-070-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 1854 ALLOY STEEL,25,TRUE,13392.614904914595,0.904638360569107,3,7,7752.307313650852,0.9750985954858954,0.42115058420696905,7.046023491678843
901-140-030-000,"WINCHE MANUAL 1,5t",0,FALSE,13347.354473684209,0,1,3,8109.925330760009,0.9559189669028777,0.39239454929067574,95.59189669028777
613-260-080-000,MOSQUETON GIRATORIO 10t,0,FALSE,12238.949134251148,0,34,35,72299.62303018717,0.9501056822161598,-4.907339121775907,95.01056822161598
424-100-020-030,CINTA PLANA EE2-602 X 3m TIPO 3,0,FALSE,12940.840481970237,0,4,25,5450.4280902052615,0.9542530302727162,0.5788196216622062,95.42530302727162
433-100-030-060,CINTA PLANA EE3-603 X 6m TIPO 3,0,FALSE,12214.319452687827,0,22,23,18364.068161478677,0.9524695333180392,-0.5034868076450681,95.24695333180392
928-110-010-000,"CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 4,5m",0,FALSE,12408.639253891415,0,15,49,5990.193419503064,0.9501021046184637,0.5172562198853103,95.01021046184637
