sku,descripcion,monto_total,dist_ganadora,dlt_media_val,dlt_sd,dlt_p50,dlt_p90,dlt_p95
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,41921221,gamma,6.389679664858008,9.131742585886633,3.1788814430950607,17.43571553454119,24.29166901885838
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,39622271,lnorm,6.9033294303012855,22.979717140343073,1.0666171447038377,16.229727785116157,29.807405407617793
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,18411483,lnorm,323.0742717045292,3973.684435482586,16.18479493688087,430.0986017987475,1018.4415728067887
541-120-005-030,CINTA TUBULAR EE 5t X 3m,12204912,lnorm,7.011085158291781,13.19088898827223,0,21.629856237445598,31.26738634137089
271-190-040-000,ANCLAJE SOLDABLE 8t,11643878,lnorm,10.958263146552884,31.932171178536198,0.5435591785943306,27.70332545565439,50.101678191033585
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,11078243,lnorm,1.3415561809342842,4.287622233743229,0,3.6981243809667905,6.660328356970676
901-170-060-000,WINCHE DE PALANCA 6t,8733433,gamma,0.9553259797316754,1.6266138668491252,0,3.0514743898473817,4.233949872068915
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,8307389,lnorm,3.327228608155905,7.62137206790165,1.0357058145670588,8.4444099789253,13.968656211463374
541-120-003-020,CINTA TUBULAR EE 3t X 2m,7405061,lnorm,12.07614018946799,67.98777926924737,0.07672248842081424,23.7944581647767,49.27581803181348
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,7056338,lnorm,0.9257794451786361,1.1588300470833108,0.6152691186473888,2.3568922531138203,3.1094654253735308
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",6038172,lnorm,9.8681837201876,21.88857069724731,3.3657160101943404,23.92006236409474,39.78306992976084
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,5593872,normal,4.11992470587506,6.796661897801814,0,13.617457719287549,18.75435168520772
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,5267598,lnorm,0.4329893645094634,0.7261503171172319,0,1.3180340787813747,1.875360347418361
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,4874975,gamma,8.078363741900505,8.465086021724563,5.527624650974666,18.513415512940828,24.987648935810427
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,4837522,gamma,0.7098611861597817,0.8149917613884682,0.508806880672803,1.836450233137043,2.3251486892090836
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,4801276.806451613,gamma,7.722495032178398,20.805589181510477,0,24.650851503122727,44.41263523830682
